studentID,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20
001,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
002,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
003,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
004,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
005,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
006,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
007,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
008,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
009,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
010,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
011,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
012,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
013,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
014,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
015,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
016,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
017,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
018,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
019,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
020,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
